carrier_id,company_name,inn,region,fleet_type,certification_flag
1009,ООО "Северная логистика",7812456789,Северо-Западный,рефрижераторы,1
1010,ИП "Экспресс-доставка",8612456790,Южный,бортовые,0
1011,ТК "Сибирский тракт",7012345678,Сибирский,все_типы,1
1012,ООО "Волга-Транс",6312345679,Приволжский,цистерны,1
1013,ИП "Урал-Авто",6612345680,Уральский,бортовые,0
1014,ТК "Дальний Восток Логистик",2512345681,Дальневосточный,рефрижераторы,1
1015,ООО "Столичный груз",7712345690,Центральный,все_типы,1
1016,ИП "Кубань-Транс",2312345678,Южный,самосвалы,0
1017,ТК "Балтийский экспресс",3912345679,Северо-Западный,рефрижераторы,1
1018,ООО "Енисей Логистик",2412345680,Сибирский,бортовые,0
1019,ИП "Татарстан-Авто",1612345681,Приволжский,цистерны,1
1020,ТК "Кавказ Транс",2612345682,Южный,рефрижераторы,0

trip_id,carrier_id,trip_date,loading_date_plan,loading_date_fact,delivery_date_plan,delivery_date_fact,ordered_quantity,delivered_quantity,cargo_damage,cargo_loss,has_gps,claim_flag,review_stars
10022,1009,2026-01-02,2026-01-02 08:00,2026-01-02 08:10,2026-01-02 16:00,2026-01-02 16:20,18,18,0,0,1,0,5
10023,1009,2026-01-06,2026-01-06 09:00,2026-01-06 09:00,2026-01-06 17:00,2026-01-06 17:00,22,22,0,0,1,0,5
10024,1009,2026-01-10,2026-01-10 10:00,2026-01-10 10:30,2026-01-10 18:00,2026-01-10 18:45,15,15,0,0,1,0,4
10025,1010,2026-01-03,2026-01-03 08:00,2026-01-03 08:15,2026-01-03 16:00,2026-01-03 17:10,12,12,0,0,0,0,4
10026,1010,2026-01-07,2026-01-07 11:00,2026-01-07 11:45,2026-01-07 19:00,2026-01-07 20:30,10,10,0,0,0,1,3
10027,1010,2026-01-12,2026-01-12 09:00,2026-01-12 09:10,2026-01-12 17:00,2026-01-12 17:30,14,14,0,0,0,0,4
10028,1011,2026-01-01,2026-01-01 08:00,2026-01-01 08:00,2026-01-01 16:00,2026-01-01 16:00,30,30,0,0,1,0,5
10029,1011,2026-01-05,2026-01-05 09:00,2026-01-05 09:05,2026-01-05 17:00,2026-01-05 17:05,28,28,0,0,1,0,5
10030,1011,2026-01-09,2026-01-09 10:00,2026-01-09 10:00,2026-01-09 18:00,2026-01-09 18:00,35,35,0,0,1,0,5
10031,1011,2026-01-14,2026-01-14 08:00,2026-01-14 08:20,2026-01-14 16:00,2026-01-14 16:40,25,25,0,0,1,0,4
10032,1012,2026-01-02,2026-01-02 09:00,2026-01-02 09:00,2026-01-02 17:00,2026-01-02 17:00,40,40,0,0,1,0,5
10033,1012,2026-01-06,2026-01-06 10:00,2026-01-06 10:15,2026-01-06 18:00,2026-01-06 18:30,38,38,0,0,1,0,5
10034,1012,2026-01-11,2026-01-11 08:00,2026-01-11 08:00,2026-01-11 16:00,2026-01-11 16:00,42,42,0,0,1,0,5
10035,1013,2026-01-04,2026-01-04 09:00,2026-01-04 09:40,2026-01-04 17:00,2026-01-04 18:20,16,16,0,0,0,0,3
10036,1013,2026-01-08,2026-01-08 10:00,2026-01-08 10:20,2026-01-08 18:00,2026-01-08 19:10,13,13,0,0,0,0,4
10037,1013,2026-01-13,2026-01-13 08:00,2026-01-13 08:55,2026-01-13 16:00,2026-01-13 17:30,15,15,1,0,0,1,2
10038,1014,2026-01-03,2026-01-03 08:00,2026-01-03 08:00,2026-01-03 16:00,2026-01-03 16:00,20,20,0,0,1,0,5
10039,1014,2026-01-07,2026-01-07 11:00,2026-01-07 11:10,2026-01-07 19:00,2026-01-07 19:20,18,18,0,0,1,0,4
10040,1014,2026-01-12,2026-01-12 09:00,2026-01-12 09:00,2026-01-12 17:00,2026-01-12 17:00,24,24,0,0,1,0,5
10041,1015,2026-01-01,2026-01-01 08:00,2026-01-01 08:00,2026-01-01 16:00,2026-01-01 16:00,50,50,0,0,1,0,5
10042,1015,2026-01-05,2026-01-05 09:00,2026-01-05 09:00,2026-01-05 17:00,2026-01-05 17:00,45,45,0,0,1,0,5
10043,1015,2026-01-09,2026-01-09 10:00,2026-01-09 10:00,2026-01-09 18:00,2026-01-09 18:00,48,48,0,0,1,0,5
10044,1015,2026-01-14,2026-01-14 08:00,2026-01-14 08:00,2026-01-14 16:00,2026-01-14 16:00,55,55,0,0,1,0,5
10045,1016,2026-01-02,2026-01-02 09:00,2026-01-02 09:30,2026-01-02 17:00,2026-01-02 18:15,14,14,0,0,0,0,3
10046,1016,2026-01-06,2026-01-06 10:00,2026-01-06 10:50,2026-01-06 18:00,2026-01-06 19:30,11,11,0,0,0,1,2
10047,1016,2026-01-10,2026-01-10 08:00,2026-01-10 08:20,2026-01-10 16:00,2026-01-10 17:10,16,16,0,0,0,0,4
10048,1017,2026-01-01,2026-01-01 08:00,2026-01-01 08:00,2026-01-01 16:00,2026-01-01 16:00,25,25,0,0,1,0,5
10049,1017,2026-01-05,2026-01-05 09:00,2026-01-05 09:05,2026-01-05 17:00,2026-01-05 17:10,28,28,0,0,1,0,5
10050,1017,2026-01-10,2026-01-10 10:00,2026-01-10 10:00,2026-01-10 18:00,2026-01-10 18:00,22,22,0,0,1,0,5
10051,1018,2026-01-03,2026-01-03 08:00,2026-01-03 08:35,2026-01-03 16:00,2026-01-03 17:20,17,17,0,0,0,0,3
10052,1018,2026-01-07,2026-01-07 11:00,2026-01-07 11:40,2026-01-07 19:00,2026-01-07 20:10,12,12,0,0,0,0,4
10053,1018,2026-01-11,2026-01-11 09:00,2026-01-11 09:15,2026-01-11 17:00,2026-01-11 18:00,15,15,0,0,0,0,3
10054,1019,2026-01-02,2026-01-02 08:00,2026-01-02 08:00,2026-01-02 16:00,2026-01-02 16:00,32,32,0,0,1,0,5
10055,1019,2026-01-06,2026-01-06 09:00,2026-01-06 09:00,2026-01-06 17:00,2026-01-06 17:00,36,36,0,0,1,0,5
10056,1019,2026-01-10,2026-01-10 10:00,2026-01-10 10:10,2026-01-10 18:00,2026-01-10 18:20,30,30,0,0,1,0,5
10057,1020,2026-01-04,2026-01-04 08:00,2026-01-04 08:45,2026-01-04 16:00,2026-01-04 17:30,13,13,0,0,0,0,3
10058,1020,2026-01-08,2026-01-08 11:00,2026-01-08 12:10,2026-01-08 19:00,2026-01-08 20:45,10,10,1,0,0,1,2
10059,1020,2026-01-13,2026-01-13 09:00,2026-01-13 09:25,2026-01-13 17:00,2026-01-13 18:05,14,14,0,0,0,0,3

vehicle_id,carrier_id,sts_verified,insurance_valid,tech_inspection_date
17,1009,1,1,2025-11-10
18,1009,1,1,2025-12-05
19,1010,1,1,2025-06-20
20,1010,0,1,2024-09-15
21,1011,1,1,2025-10-30
22,1011,1,1,2026-01-05
23,1011,1,1,2025-12-20
24,1012,1,1,2025-08-14
25,1012,1,1,2025-09-22
26,1013,1,0,2024-05-18
27,1013,0,1,2023-11-30
28,1014,1,1,2025-07-25
29,1014,1,1,2025-10-12
30,1015,1,1,2025-12-01
31,1015,1,1,2026-01-15
32,1015,1,1,2025-11-20
33,1016,1,1,2025-04-10
34,1016,0,0,2024-02-28
35,1017,1,1,2025-09-05
36,1017,1,1,2025-10-18
37,1018,1,1,2025-03-22
38,1018,0,1,2024-08-09
39,1019,1,1,2025-11-15
40,1019,1,1,2025-12-10
41,1020,1,0,2024-07-30
42,1020,0,1,2023-12-05

invoice_id,carrier_id,due_date,payment_date
115,1009,2026-01-10,2026-01-09
116,1009,2026-01-20,2026-01-20
117,1009,2026-01-30,2026-01-31
118,1010,2026-01-05,2026-01-07
119,1010,2026-01-15,2026-01-20
120,1010,2026-01-25,2026-01-28
121,1011,2026-01-08,2026-01-08
122,1011,2026-01-18,2026-01-18
123,1011,2026-01-28,2026-01-28
124,1012,2026-01-12,2026-01-12
125,1012,2026-01-22,2026-01-22
126,1013,2026-01-03,2026-01-05
127,1013,2026-01-13,2026-01-18
128,1014,2026-01-07,2026-01-07
129,1014,2026-01-17,2026-01-17
130,1014,2026-01-27,2026-01-27
131,1015,2026-01-01,2026-01-01
132,1015,2026-01-10,2026-01-10
133,1015,2026-01-20,2026-01-20
134,1016,2026-01-04,2026-01-09
135,1016,2026-01-14,2026-01-16
136,1017,2026-01-09,2026-01-09
137,1017,2026-01-19,2026-01-19
138,1017,2026-01-29,2026-01-29
139,1018,2026-01-06,2026-01-10
140,1018,2026-01-16,2026-01-19
141,1019,2026-01-11,2026-01-11
142,1019,2026-01-21,2026-01-21
143,1020,2026-01-02,2026-01-05
144,1020,2026-01-12,2026-01-14

message_id,carrier_id,request_time,response_time
115,1009,2026-01-02 09:00,2026-01-02 09:20
116,1009,2026-01-06 14:00,2026-01-06 14:30
117,1009,2026-01-10 10:30,2026-01-10 11:00
118,1010,2026-01-03 08:00,2026-01-03 10:15
119,1010,2026-01-07 13:00,2026-01-07 15:45
120,1010,2026-01-12 09:30,2026-01-12 11:20
121,1011,2026-01-01 10:00,2026-01-01 10:10
122,1011,2026-01-05 11:00,2026-01-05 11:15
123,1011,2026-01-09 08:30,2026-01-09 08:45
124,1012,2026-01-02 09:00,2026-01-02 09:05
125,1012,2026-01-06 14:00,2026-01-06 14:10
126,1012,2026-01-11 10:00,2026-01-11 10:15
127,1013,2026-01-04 08:00,2026-01-04 09:30
128,1013,2026-01-08 12:00,2026-01-08 13:20
129,1013,2026-01-13 15:00,2026-01-13 16:45
130,1014,2026-01-03 09:00,2026-01-03 09:25
131,1014,2026-01-07 10:30,2026-01-07 11:00
132,1014,2026-01-12 08:00,2026-01-12 08:20
133,1015,2026-01-01 09:00,2026-01-01 09:05
134,1015,2026-01-05 10:00,2026-01-05 10:10
135,1015,2026-01-09 11:00,2026-01-09 11:10
136,1015,2026-01-14 13:00,2026-01-14 13:15
137,1016,2026-01-02 08:00,2026-01-02 09:10
138,1016,2026-01-06 14:00,2026-01-06 15:30
139,1016,2026-01-10 10:00,2026-01-10 11:15
140,1017,2026-01-01 09:00,2026-01-01 09:20
141,1017,2026-01-05 11:00,2026-01-05 11:25
142,1017,2026-01-10 08:30,2026-01-10 08:50
143,1018,2026-01-03 10:00,2026-01-03 12:10
144,1018,2026-01-07 09:00,2026-01-07 10:45
145,1018,2026-01-11 14:00,2026-01-11 15:30
146,1019,2026-01-02 08:00,2026-01-02 08:10
147,1019,2026-01-06 10:00,2026-01-06 10:15
148,1019,2026-01-10 09:00,2026-01-10 09:10
149,1020,2026-01-04 11:00,2026-01-04 12:30
150,1020,2026-01-08 08:00,2026-01-08 09:45
151,1020,2026-01-13 13:00,2026-01-13 14:20
